Site,Accuracy,Sensitivity,Specificity,PPV,NPV,Balanced Accuracy,AUC,Number of Subjects
CALTECH,0.25,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.16666666666666669,4
KKI,0.6428571428571429,1.0,0.4444444444444444,0.5,1.0,0.7222222222222222,0.7222222222222222,14
LEUVEN_1,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,3
LEUVEN_2,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,N/A,6
MAX_MUN,0.6428571428571429,0.75,0.6,0.42857142857142855,0.8571428571428571,0.675,0.675,14
NYU,0.6428571428571429,0.5217391304347826,0.7894736842105263,0.75,0.5769230769230769,0.6556064073226544,0.6556064073226545,42
OLIN,0.625,0.5714285714285714,1.0,1.0,0.25,0.7857142857142857,0.7857142857142857,8
PITT,0.8888888888888888,0.8333333333333334,1.0,1.0,0.75,0.9166666666666667,0.9166666666666667,9
SBL,0.5,0.0,0.5,0.0,1.0,0.5,N/A,2
SDSU,0.8,0.5,1.0,1.0,0.75,0.75,0.75,5
STANFORD,0.75,0.75,0.75,0.75,0.75,0.75,0.75,8
TRINITY,0.4166666666666667,0.6,0.2857142857142857,0.375,0.5,0.44285714285714284,0.44285714285714284,12
UCLA_1,0.5,0.6,0.42857142857142855,0.42857142857142855,0.6,0.5142857142857142,0.5142857142857143,12
UCLA_2,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.5,0.5,3
UM_1,0.75,0.9,0.6,0.6923076923076923,0.8571428571428571,0.75,0.75,20
UM_2,0.5,0.0,0.5,0.0,1.0,0.5,N/A,2
USM,0.7727272727272727,0.7333333333333333,0.8571428571428571,0.9166666666666666,0.6,0.7952380952380952,0.7952380952380953,22
YALE,0.5833333333333334,0.8,0.42857142857142855,0.5,0.75,0.6142857142857143,0.6142857142857143,12
Overall,0.6515151515151515,0.6702127659574468,0.6346153846153846,0.6237623762376238,0.6804123711340206,0.6524140752864157,0.6524140752864156,198
Autism/Non-Autism Count,,198.0,94.0,104.0,,,,
